story,type,word,question1,question2
1A,T,"年輕人啊，謝謝你，要不是你我差點就要跌下去了。"
1B,T,"沒事，這是我應該做的。不過怎麼只有您一個人呢？"
1A,T,"家裡的小孩都長大、有自己的家業要忙，老伴也先走了一步，自己在家太無聊，所以就出來散散步、曬曬太陽。"
1B,Q,"(現在許多老人都是獨居，太危險了!)","現今科技進步，為了他們，我決定要推動AI機器人變老人福利之一，希望能普及化智慧醫療！","希望他們的小孩能注意到，也希望有人可以陪伴他們......"
1B,T,"原來是這樣啊～多散步好呀，但記得要小心一點！"
1A,T,"我會的，謝謝你的關心。"

2A,Q,"(看著大家的心理健康如此低迷)，","為了他們，我要推出心理健康線上平台，讓那些需要諮商的人能夠有一個地方撫慰他們身心。","真希望他們能快快好起來。"

3A,T,"給你"
3B,T,"謝謝～"
3A,T,"你現在是體育課嗎？看起來很有活力，真好！"
3B,T,"不是的，我們這堂是國文課，但是因為國文老師突然請假，所以我們這節就變成自由活動了"
3A,T,"那你們沒有代課老師嗎？"
3B,T,"沒有啊，我們每一個科目的老師都只有一個，還有時候是兩個科目同一個老師呢！"
3A,T,"原來是這樣，那你們慢慢玩，我先走啦！"
3A,Q,"這間學校相較於都市小學教師少了好多......","希望向中央申請資助偏鄉學校、優化師資，能夠幫助到他們。","真是心疼他們。"

4A,T,"小朋友，你們這樣是不對的。"
4B,T,"但是他不像是一個男生該有的樣子。"
4A,T,"這個世界上有很多元的性別，雖然他的生理是男生，但這不代表他必須向你們認為的那樣穿著陽剛，我們應該要尊重他人的性別認同，了解彼此的差異，且不帶有性別偏見。"
4A,Q,"(說到這裡......)","既然如此，我想推廣性別平等，藉由舉辦講座讓大家暸解多元的性別。","這些小孩們這樣太不行了。"
4B,T,對不起，我們不應該嘲笑那個男生。

5A,Q,"剛剛看到那些翻白肚的魚還有貓還在想他們怎麼了，現在看到工廠在排放的廢水突然懂了。","回去之後，我要去暸解一下狀況。提案相關管制條款，努力改善現況，還給大自然乾淨的河流。","現在的世界竟然是如此慘況...。"

6A,T,"謝謝你幫我剪，東西有點多，裝不太下這個推車，走一走就掉，哈哈哈哈"
6B,T,"不會，你推著這麼多東西要去哪裡啊？"
6A,T,"我要來去把這些塑膠廢棄物找出再利用的辦法，不然這些廢棄物不僅可能會因阻塞排水道引發淹水情況，孳生蚊蟲造成疾病傳染，還可能會因為有人用燃燒的方式處理廢棄物，釋放出有害的毒素導致空氣污染，為了減少這些對地球有害的行為，我想找出人們感興趣的再利用技術，希望他們多多關心廢棄物污染"
6B,Q,"原來廢棄物亂處理會造成這麼嚴重的後果!","希望能有更多像你一樣研發廢棄物再利用技術的人，我要來去向政府提案撥款資助研發人員，以及置辦官方活動！","辛苦你了，希望你能成功"
6B,T,"謝謝指教～"
6A,R,不客氣，如果成功的話會是一個很大的幫助，希望能順利進行！/不客氣，我會努力的！

7A,T,"學者～你好啊，我是這裡的鄉長！"
7B,T,"是鄉長啊，我記得我們之前見過"
7A,T,"對呀！"
7B,T,"我剛剛在來的路上發現大部分都是中老年人跟小孩子，這樣他們種植那些農作物還可以嗎？"
7A,T,"年輕人大部分都跑向外打拼，不願意從事農業，只剩下中老年人待在這裡耕作、種田，又因職業問題，常有許多的意外發生。所以我在思考我們要不要鼓勵大家發展精緻化農業，這個產業是運用科技加上現代化的管理方式，不僅能吸引年輕人加入，還能促進農村活化，減少農民負擔。而且他是以產出高質量、高效益、高水平農產品為目標的綜合性農業體系！"
7B,Q,"政府也在思考鄉鎮高齡化的問題，且最近也有人在談論精緻化農業這個新興產業","既然這樣，回去之後我會來推廣精緻化農業的，相信會有很多人被吸引而來的！","但我認為人終會回來的，不用太擔心～"
7A,R,好的～我也會多多鼓勵大家轉為發展精緻化農業的！/也許吧，希望如此

8A,T,"你還好嗎？"
8B,T,"還好啊，玩累了在看海，順便思考一下未來。"
8A,T,"未來？"
8B,T,"我再一年就要從大學畢業了，但我擔心會無法順利就業。"
8A,Q,"這樣啊～希望你能夠順利的找到適合你的工作，及早為求職做準備絕對不會錯，加油！","為了能讓他們更好的找到工作，我想推動投資青年就業方案，讓他們可以更好的暸解就業環境。","希望大家都能順利的找到適合他們的工作！"
8B,T,"謝謝你的鼓勵～"

9A,T,"你還好嗎？"
9B,T,"還好，只是又要出航了，有點捨不得去"
9A,T,"為什麼？"
9B,T,"因為每次出航花的時間都很多，很久才能見一次家人，出航帶回來的東西也不多，不像之前的飛機一樣，速度快、來回時間短，方便許多，如果飛過去發現有更多東西要帶回來，再開船過去也不會是問題啊"
9A,Q,"也是，久久才能見一次家人的確是件令人難過的事，祝你這次的旅行能比以往快回來！","地球這麼大，只靠船來尋找物資確實不太好，他說的有道理，來去中央提議建置機場，這樣就能以更少的時間帶回撿到的物資。","海運的碳排放量低，碳足跡相較於空運也比較少，雖然時間長，但這樣就足夠了。"
9B,T,"好，你的祝福我收到了！掰掰。"

10A,T,"哎呀～我的帽子！風也太大了吧..."
10B,T,"你還好嗎？"
10A,T,"還好，謝謝你幫我。唉～這裡每天風都這麼大，常常把我們的東西給吹走，不知道為什麼不建個風力發電，風力發電既沒有燃料問題、空污問題，也沒有二氧化碳等問題，而且最近電費上漲，這樣不也可以幫我們減少電費的壓力嗎？"
10B,Q,"恩...這是個好問題","既然如此，那我想要推動離岸風電或陸域風電","但我認為不蓋好像會比較好誒)："
10A,R,我覺得搞不好之後就會蓋了呢/哈哈哈哈哈，有利必有弊嘛！搞不好他們有其他的考量。

11A,T,"你好，請問可以借一下手機嗎？我的手機沒電了，又恰巧沒帶到行動電源"
11B,T,"好哇，給你"
11A,T,"謝謝你借我手機！今天沒帶到行動電源真的是失算了，出門時還在想說今天的包包感覺比較多空間，也比平常輕，原來是因為沒帶到行動電源啊！如果有可以租行動電源的地方就好了，這樣就不會擔心忘記帶，包包也不會這麼擠了，畢竟女生的包包大多都重看不重用啊！而且除了行動電源，腳踏車也是啊，上班的路途走路嫌遠，腳踏車是最剛好的，但偏偏公司附近沒地方停駛，真希望能多一點共享裝置"
11B,Q,"哈哈哈哈哈","如果有像可以隨時租行動電源的共享裝置好像不錯，感覺是可以推動的專案。","感覺這個不太是個麻煩，沒帶跟別人借就行了！"
11A,R,是吧是吧/也是

12A,T,"嗨～～有一陣子沒見了吧！"
12B,T,"對呀！你最近過得好嗎？"
12A,T,"還不錯啊～最近有了個心儀對象，昨天甚至跟他一起去看了螢火蟲呢！只可惜現在光害越來越嚴重，看到的就那寥寥幾隻，跟過去想比根本不值一提，正打算著要去找你討論需不需要制定光污染防治標準這件事，就恰巧在路上遇見你！你覺得這個想法如何？"
12B,Q,"","我覺得制定光污染防治標準好像不錯誒，謝謝你的提議，我都沒注意到這件事。畢竟我也想再看到過去滿山滿谷的螢火蟲啊！","會嗎？我覺得不用誒，感覺沒嚴重到需要制定光污染防治標準。"
12A,R,真的嗎！真是太好了！就知道你跟我一樣是在乎螢火蟲的，希望這裡能恢復往日的美麗！/好吧～你肯定有你的理由，我尊重你的決策。

13A,T,"哎呀～是學者啊！好久不見！"
13B,T,"好久不見了，鄉長，最近過得如何呀？"
13A,T,"就那樣吧～大家都過的跟以往差不多，不過最近有比較打理了，不覺得這裡變漂亮了許多嗎？"
13B,T,"對誒，難怪來的時候覺得跟以往比起來有些許的不同。而且上次還聽說了你們農產品有很厲害的進展？"
13A,Q,"喔喔，對啊！他們真的很厲害，培養出了很多超好吃的東西！","但感覺人流跟以往沒差多少，應該被更多人發現，那我要來幫助他們進行行銷者裡的好！推銷這個地方、活化地方經濟！","相信會有更多人自己發現這裡的好的！"
13B,R,我們來一起規劃怎麼行銷吧！讓這麼好的地方能被更多人發現！/這個地方這麼棒，相信會有更多人自己發現這裡的好的！

14A,T,"不好意思，我剛剛在遠處時看到大家都是拿著店家附的塑膠袋走的，拿店家給的塑膠袋不會比較方便嗎？"
14B,T,"或許是比較方便沒錯，但那些一次性商品無法分解，不僅污染環境，也影響生物與人類健康，已大大地影響到地球的健康了。就算麻煩，我也想要減少使用那些塑料，自備環保物品，而且搞不好其他人也會像你一樣注意到我，這時他們如果因為我而被影響改用環保物品不是很好嗎？"
14A,Q,"原來如此啊～","我也想要幫助地球減少污染，回去以後，除了自己也使用環保物品，我還要多多向大家提倡減塑，多使用環保物品！","我還是比較喜歡一次性的包裝，好方便啊！"
14B,R,能聽到你這麼說我很開心，希望能有更多人被我們影響！/不會，希望有一天你能加入我的減塑行動。

15A,T,"學者！學者！我有事情想找你討論。"
15B,T,"是企業家啊～好久不見，有什麼事嗎？"
15A,T,"之前還沒遭遇史利普颱風的時候，我們從不在乎要與環境共存，好不容易生存了下來，所以現在我想要ESG轉型，做好之前沒做好的，也希望其他企業能跟我們一起，努力減少對這僅存的地放造成破壞，也能在有什麼狀況時，比較不被受影響"
15B,Q,"這樣啊～確實，ESG轉型的確是必要的，不論是對公司內部，還是公司外部，都是好的","既然如此，我決定要協助企業ESG轉型，與他們一起前進。","我相信你的轉型會帶動其他企業一起前進的！加油！"
15A,T,"好！"

16A,T,"謝謝，你也是來淨灘的嗎？"
16B,T,"不是的，我算是路過的吧。你很常來這裡淨灘嗎？"
16A,T,"對啊，希望我這微小的舉動能幫助到這個世界，減少我們對地球造成的污染"
16B,T,"有你這麼為地球想真是太好了，那讓我來幫忙把這袋拿去回收吧！"
16A,T,"不不不，這袋還有用處呢！我打算把它們拿來再利用，做成商品拿來販賣，藍色經濟不僅能讓廢棄物不再是廢棄物，還能創造具有商業創新與工作機會，達成永續經濟！像我身上的衣服以及腳上的這雙鞋子就是利用海洋中的廢棄塑膠改製的，看起來不像吧！我家還有利用咖啡渣廢料栽種的菇類呢！"
16B,Q,"哇～這麼厲害呀！","回去之後我要來推廣藍色經濟！告訴大家這些知識，讓大家也能參與其中。","他真的太有心、太厲害了！"
16B,R,我回去會好好分享給我身邊的人的！/學到新知識了！
16A,T,"好啦～我休息夠了，要繼續撿了，有緣再見！"

17A,T,"怎麼了？"
17B,T,"這次新上的政策有些地方不是很合理，而且說的不清不楚的，不是很能理解，希望政府能公開透明一點啊，讓人民也能有發聲的機會。"
17A,Q,"喔～這倒是真的，政府有些政策的確不是很完善。","我想來推動政府開放透明參與，這樣不僅能讓人民清楚地知道有興趣的政策，還能參與討論議題，甚至對有疑慮的地方提出意見，藉此就能收集多元的意見，減少政策發生錯誤的可能。","大致上的政策我都覺得還行，沒什麼大問題"
17B,R,我也希望能如你所說的那樣公開透明，且能給予政府意見/就只能祈禱他們修正了
17A,T,"是吧～"

